,id,url,name,description,host_id,host_name,country,city,price,availability_30,availability_60,availability_90,availability_365,amenities,no_of_reviews,review_score,latitude,longitude
10,10084023,https://www.airbnb.com/rooms/10084023,City center private room with bed,"House is located 5mins walk from Sham Shui Po and Prince Edward MTR. The private room has a single bed and a big closet, with window. You can enjoy the living area, kitchen and bathroom.  Speaks great Eng, Mandarin & Cantonese.Lots of restaurant here The house is old fashion type, and paint the whole flat by ourselves, it is unique in the city^^ Living Room , Kitchen and Toilet, All cooking equipment can be used too A phone card of unlimited data will be provided during the stay, and phone call can also be made by the card. We have 3 bedrooms in the house and 2 are occupied by us,  lots of Hong Kong traveling tips will be provided and also simple local tour if time is allowed. Cheapest food, electronic device, clothing and other stuff in Hong Kong can be found in this area. Lots of Traditional and old fashion building are located here. ""Dark side"" of Hong Kong can also be found here, because many elderly and poor are living Here Close to 3 different MTR Station, Sham shui Po and Shek K",51744313,Yi,Hong Kong,Hong Kong,181.0,14,24,40,220,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'First aid kit', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Long term stays allowed', 'Host greets you']",81,10.0,22.3314,114.1669
11,10091713,https://www.airbnb.com/rooms/10091713,Surry Hills Studio - Your Perfect Base in Sydney,"This spacious, light filled studio has everything you need to enjoy Sydney and is the perfect base for exploring. The harbour is an easy walk, Bondi a short bus trip away. Comfortable studio with a great layout. The bathroom has a full size bath tub and shower. Complete set of kitchen utensils etc for cooking and a full size fridge. The 3 seater sofa and 42' TV mean you can comfortably relax after a day at the beach or exploring.  Large lounge room windows provide harbour views. You have full use of the entire studio and complete privacy during your stay. You have complete privacy during your stay. Surry Hills is a vibrant eclectic community and an amazing place to live, and this studio is in the centre of it all. A fantastic range of small bars and restaurants are on your doorstep, along with Sydney's best breakfasts for the next morning. Central to public transport, busses to Bondi Beach and the city are 50 metres from the front door. Travel Card 'Opal' travel cards work on all Sydne",13764143,Ben,Australia,Sydney,181.0,0,0,0,0,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",64,9.0,-33.88029,151.21554
12,10092679,https://www.airbnb.com/rooms/10092679,Cozy house at Beyoğlu,"Hello dear Guests, wellcome to istanbul. My House is 2+1 and at second floor. 1 privite room is for my international guests. House is Very close to Taksim Square. You can Walk in 30 minutes or you can take a bus.  The bus stop is only 100 m from home. You can go Taksim, Eminönü, Karaköy, Kadıköy, Beyazıt, Sultanahmet easily from home.  I have 1 bed, two people can sleep together. Second person should pay extra. You can use kitchen, bathroom, free Wifi, dishwasher, washing machine, Ironing. Safe, quite, big house, wiev, Central, near the bus stop. Kitchen, bathroom, room, sitting room, balcony, washing machine, dishwasher, Ironing. You can ask any questions with phone, (Hidden by Airbnb) or email. + (Phone number hidden by Airbnb) is my (Hidden by Airbnb) number.  (Email hidden by Airbnb) is my email adress Beyoğlu / Centre of İstanbul It calls Hasköy area, near the Golden Horn Its very closed to bus stop and Balat, Taksim, Pierre Loti, Eminönü, Sultan Ahmet, Kadıköy Just enjoy your hol",21331922,Ali,Turkey,Istanbul,58.0,3,19,37,37,"['Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",27,10.0,41.03777,28.95825
13,10096773,https://www.airbnb.com/rooms/10096773,Easy 1 Bedroom in Chelsea,"A comfortable one bedroom for responsible guests. Plenty of natural light. Walk up building. You'll feel like a local staying in this residential neighborhood, right next to great food, bars, subways, the High Line, Chelsea Piers, etc. *I listed this place late so can be flexible for you. I'm quick to respond - contact me and let's discuss whether we can make something work for you asap* Sorry about the lack of pictures. Will link you to Streeteasy when you reply. There is a small (regular for NYC) bedroom, a living room with couches and a TV (with apple tv but only basic cable), a kitchen, and a bathroom. It is in a walk up building a couple of flights up. Need relatively quiet guests for this residential building - definitely not a place for your weekend party. I am available to help you any time and will provide a cell # for questions. When I let you in, I'll also be able to answer any questions and point you to restaurants and local attractions. Chelsea is considered a high end nei",34607505,Scott,United States,New York,145.0,0,0,0,0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials']",1,10.0,40.74577,-74.00074
14,10108388,https://www.airbnb.com/rooms/10108388,Sydney Hyde Park City Apartment (checkin from 6am),"Our city apartment is a bright, comfortable 1 bedroom with 24hr front-desk access. It is conveniently located directly across from Hyde Park and within walking distance of delightful cafes, restaurants, parks, major city attractions and public transport, including Museum Station which has a direct connection to Sydney Airport. SPACE  Comfortable 1 bedroom which has a queen-sized bed, is air conditioned and has a self-contained kitchen, including:  fridge, dishwasher, oven, cooktop, microwave. SECURITY  Secure 24hour front-desk access with full access to the rooftop area which  has stunning views of Hydepark and the city, and includes: pool, sauna and gym.  Laundry facilities, which are located on the mezzanine level and has coin operated washing machines and dryers. MY AVAILABILITY I am easily contactable at anytime. If I am unable to welcome you personally I will leave the keys to the apartment and any further information marked for your attention at the front desk. AREA Located withi",16187044,Desireé,Australia,Sydney,185.0,5,16,35,265,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access']",109,10.0,-33.87603,151.21346
15,10115921,https://www.airbnb.com/rooms/10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,"our place situated at the middle of beautiful places such as nişantaşi street just 5 min walking and osmanbey these streets are full of markets,resturants also  we are 1.2 kilo metere far from taksim square and istiklal street one of the most famous",51471538,Ahmet,Turkey,Istanbul,838.0,30,60,90,365,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",3,7.0,41.04841,28.98713
16,10117617,https://www.airbnb.com/rooms/10117617,A Casa Alegre é um apartamento T1.,"Para 2 pessoas. Vista de mar a 150 mts. Prédio com 2 elevadores. Tem: - quarto com roupeiro e cama de casal (colchão magnetizado); - cozinha: placa de discos, exaustor, frigorifico, micro-ondas e torradeira; casa de banho completa; - sala e varanda. Foi renovado há menos de um ano. É um apartamento acolhedor e luminoso. Tem uma sala aprazível e extensível à varanda (15 m2),  com uma  rede brasileira para descansar e apreciar a vista do mar. A praia, a dois minutos de distancia, tem bandeira azul. Disponibiliza-se roupa de cama (lençóis, almofadas e cobertores), de banho (toalhas) e utensílios de cozinha (pratos, panelas, copos e talheres). Disponibiliza-se também sabonete e gel. A Casa Alegre está localizada numa avenida tranquila, com estacionamento à porta e em zona de comércio local (restaurantes, farmácias, cabeleireiros, mercearias, bancos, lavandaria e mercado).  Está perto do centro de Vila do Conde e da Póvoa do Varzim, cidades ligadas por uma ciclovia marítima. Os percursos po",51920973,Manuela,Portugal,Porto,40.0,0,0,0,46,"['TV', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Bathtub', 'Beachfront']",12,10.0,41.3596,-8.75383
17,10133350,https://www.airbnb.com/rooms/10133350,2 bedroom Upper east side,"Near 70th and 1st.  A very nice 6th floor walk-up with true 2 bedrooms and one bath. Full Kitchen. One bedroom has a queen and the other a double.  Living room has a couch you could sleep on too. New powerful air conditioner cools whole apt. Great area with restaurants, shopping and walk to Central Park Please contact us first if reserving on same day, we might need time to arrange for keys. Holiday weekends we prefer 3 night stays. Thank you! The space is one block away from the new second avenue subway... The Q line which gets you into times sqaure/heralds square in ten minutes. We are able to be reached during your stay. Walk to Central Park or Madison ave shops.  Plenty of restaurants, pizza and great bagel shop.",52004369,Chelsea,United States,New York,275.0,0,0,0,0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Pets live on this property', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",9,9.0,40.7664,-73.95854
18,10133554,https://www.airbnb.com/rooms/10133554,Double and triple rooms Blue mosque,"We are on the central city  Blue mosque 5 minutes  Hagia sopiha 4 minutes  Topkapi palace and archeology museums 5 minutes  Grand bazaar 10 minutes We have bathroom,wc,İnternet in rooms and under rooms we have cafe bar restaurant and market anything you need we can help you 24 hours Hospitality Cankurtaran mahallesi akbıyık caddesi no 22 Sultanahmet Fatih İstanbul Tram 5 minutes  metro 10 minutes  Bus 10 minutes",52004703,Mehmet Emin,Turkey,Istanbul,121.0,30,60,90,365,"['Internet', 'Wifi', 'Air conditioning', 'Free parking on premises', 'Smoking allowed', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff']",29,9.0,41.0062,28.98009
19,10138784,https://www.airbnb.com/rooms/10138784,Room Close to LGA and 35 mins to Times Square,"A private small bedroom in a 2 BR 1BA apartment. There’s no living area as I converted to live in. The location is 2 minutes to Q33 bus stop, 5 minutes to 7 train station ( which directly takes you to Times Square in 35-40 minutes ). The bedroom has a queen bed, a closet, a mini fridge, outlets, USB ports, wifi, and AC. Kitchen is not provided to use. Guest have access to the bedroom and bathroom only. This apartment has my husband and me. This place also has a chinchilla and a French Bulldog. We are living in this apartment in a living area. And we are offering an actual room for your privacy. I would be very happy to welcome all dog lovers because our frenchie loves to interact with people. So feel free to contact me if you have any questions :) This elevator building is located in a great neighborhood where there are many great restaurants from all parts of the world ( Latin American, Indian, Thai, Japanese, Filipino and the list goes on) .  The building is also conveniently near ma",52031360,Cheer,United States,New York,46.0,30,60,90,365,"['Internet', 'Wifi', 'Air conditioning', 'Pets live on this property', 'Dog(s)', 'Other pet(s)', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Host greets you']",123,10.0,40.74953,-73.88025
20,10140368,https://www.airbnb.com/rooms/10140368,A bedroom far away from home,"NOTES: BEFORE BOOKING, PLEASE KNOW THAT WE ARE LOCATED ON THE 3RD FLOOR OF A WALK UP BUILDING (3 SHORT FLIGHT OF (Website hidden by Airbnb) IF YOU HAVE TROUBLE CLIMBING STAIRS, BE ADVISED, THANKS! THE CHECK-IN TIME IS STRICTLY BETWEEN 1PM-10PM.. AND CHECK OUT IS 11AM THIS LISTING IS ONLY FOR A BEDROOM AND NOT THE ENTIRE APARTMENT. our place is a good sized apartment in a very quiet neighborhood. the bedroom is clean and cozy with a queen sized bed, so you can get all the rest you need. you can use the living room and kitchen. we also have a piano, so if you know how to play,you are free to do so! one of us will try to help you in your needs through out your stay. our neighborhood is basically peaceful, there a lot of children because the school bus picks them up by the corner. but all in all, its a quiet and friendly place to live. subway is about 5-8 minutes away by foot. there is street parking.",1017772,Lane,United States,New York,45.0,20,29,29,34,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",239,10.0,40.71485,-73.82257
21,10141950,https://www.airbnb.com/rooms/10141950,"Big, Bright & Convenient Sheung Wan","Hollywood Rd Studio Only 1 apartment per floor 650sqft! Fast Wifi and Kitchen! Daily Housekeeping! NEAR 3min walk from MTR 3min walk from Escalators 5min walk from LKF (Please note I live here so some belongings kept in wardrobe) Huge Luxury Studio Serviced Apartment 650sqm! That means daily house keeping and all Amendities! I will be on a holiday trip, but you can access me through email and I can call you if you have any issues LKF Escalators IFC Mall SOHO food Wellington St Food! 3 minutes walk from MTR station I actually live in the studio, so my belongings will be in a wardrobe space",11435086,Regg,Hong Kong,Hong Kong,966.0,0,0,0,0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",1,10.0,22.28422,114.15007
22,10166883,https://www.airbnb.com/rooms/10166883,Large railroad style 3 bedroom apt in Manhattan!,"Spacious 3 bedroom apartment. 2 are railroad style (must go through one to get to the next) and the additional bedroom is at opposite end of the apartment for extra privacy. Well equipped open kitchen. Large living room with additional fold out couch. Great apt for a weekend in NYC.  10 min walk to Central Park. Beautiful Railroad style NYC apartment with exposed brick. Larger than what most people expect to get in NYC. Located in and old Italian neighborhood that has slowly turned into El barrio (The latin neighborhood of manhattan). This combination is amazing since you will be staying next to one of NYC's oldest brick oven pizzeria, Patsy's, and one of NYC's best Italian restaurants RAO's, plus a plethora of LatinAmerican and Mexican restaurants at walking distance. You have access to the whole apartment except for 3 closets. Anything that you need just call or text us. East harlem is a very diverse neighborhood with people of all backgrounds. The apartment is half a block away from",35215309,Vick,United States,New York,180.0,0,0,0,0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Other']",22,9.0,40.79805,-73.93943
23,10166986,https://www.airbnb.com/rooms/10166986,Resort-like living in Williamsburg,"Amazing Apt : 1 bdrm/1 bathroom furnished, New building with a doorman, jacuzzi, gym, pool, and roofdeck with an amazing Manhattan view.  Very good location : 4-Minutes walk to the L subway station, then Just 3 stops away from Manhattan. Accept only reservation for minimum 3 nights.",14461742,Mohammed,United States,New York,220.0,0,0,0,0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hangers', 'Iron']",1,10.0,40.71552,-73.93869
